2147,49
2887,57
4188,444
5566,605
7534,793
154386,81
337879,70
16,56
59,157
440,51
813,116
1017,933
1615,82
1933,87
2023,291
2113,142
2335,796
2617,87
3320,839
3326,701
3376,106
3676,489
4234,36
4343,980
4677,63
4738,1057
4914,1937
5529,69
5859,169
6059,239
6613,1643
6777,87
6872,2542
7163,46
7165,62
7317,203
7341,1180
7412,652
7453,42
9636,201
9775,305
10040,66
10055,65
10056,53
10095,62
10482,1135
27101,129
29904,167
51194,73
51520,65
51547,663
54878,30
54888,81
55611,392
57037,32
60491,147
91039,48
18,10
432,28
1398,393
7915,20
9117,10
9531,500
55366,211
146050,15
339541,2
19,58
316,7
335,105
1387,378
1457,675
1459,411
1740,57
1741,83
1838,72
2521,354
3984,57
4008,49
4609,1687
5174,61
5360,33
5970,431
5987,406
6390,75
6640,44
6641,18
6645,41
7074,46
7360,53
7376,73
7402,67
7508,85
8517,443
8572,16
8772,89
8777,45
8825,43
9146,336
9231,31
9318,122
9699,18
9826,39
10211,114
10558,28
10594,148
10987,795
23365,30
23673,88
25814,48
26154,3
27295,16
50944,21
51366,142
51678,49
51735,30
55327,46
57120,153
64130,20
84708,505
284723,1
20,20
773,101
1213,295
3359,105
3914,26
5097,12
5395,70
5445,83
5727,108
7533,316
10981,33
23131,40
54949,30
55069,19
55755,67
79621,42
81562,34
148066,81
21,29
483,56
821,220
974,116
1144,56
2770,100
3084,74
3133,58
5745,64
6490,53
9413,78
10653,111
11045,82
27074,70
54682,88
55283,58
55515,41
56674,27
57717,35
59271,40
65258,74
79867,271
84818,48
221188,80
283471,17
353174,68
22,20
2235,45
2307,79
3396,267
4697,170
4712,33
5105,79
7384,56
10016,83
23197,242
23787,25
51150,82
51382,51
57017,183
85451,287
124995,76
23,68
752,74
988,667
1653,138
1660,252
1781,56
2287,49
2869,213
3068,191
3181,215
3192,547
3428,426
3608,295
3692,188
3725,1685
4133,58
4171,869
4361,115
4670,284
4836,82
5460,324
5564,191
5705,224
5706,129
5713,116
5714,87
5719,101
5725,129
5984,95
6045,720
6157,124
6732,287
8453,435
8726,483
8891,60
8892,68
9694,107
10528,245
10643,86
10949,112
22938,672
23019,93
23322,153
23363,616
23421,85
23644,58
26043,134
27292,46
51637,67
54984,125
55646,125
55781,275
64210,200
79718,59
81789,22
83987,547
285527,27
24,2
1258,5
10765,89
25,392
27,64
29,15
58,203
142,282
160,117
163,123
197,26
274,75
301,127
322,102
326,108
367,386
545,150
573,90
598,123
610,9
613,100
656,15
672,556
675,97
695,163
718,57
729,13
831,42
842,62
847,36
857,216
867,301
868,83
887,21
894,32
930,32
983,440
987,31
996,122
1020,302
1027,113
1051,112
1058,102
1173,233
1195,202
1271,19
1326,69
1385,186
1399,141
1499,451
1501,24
1642,281
1643,86
1655,251
1748,19
1759,87
1775,14
1785,156
1795,17
1796,55
1937,183
1946,21
1951,32
2010,205
2017,193
2033,544
2042,52
2048,46
2060,160
2065,165
2066,66
2074,60
2099,890
2100,513
2130,638
2151,18
2295,16
2316,347
2318,131
2353,253
2475,195
2533,33
2534,432
2547,317
2550,20
2571,19
2799,39
2810,294
2876,20
2889,29
2906,40
2954,19
2962,102
2971,11
3055,130
3066,428
3073,40
3224,109
3265,160
3308,327
3312,585
3336,71
3609,342
3636,117
3689,72
3716,131
3717,160
3726,80
3815,105
3881,374
3927,142
3980,72
4007,66
4036,86
4053,5
4067,272
4137,148
4155,91
4193,853
4194,127
4233,147
4253,53
